feature,mean_abs_shap_ref,mean_abs_shap_cmp,shap_gap,ref_group,cmp_group
time_to_antibiotics_h,0.02387,0.03631,0.01244,White,Black
charlson_index,0.02651,0.03115,0.00464,White,Black
mechanical_vent,0.01985,0.02192,0.00207,White,Black
age,0.01659,0.01741,0.00082,White,Black
heart_rate,0.00308,0.00382,0.00074,White,Black
vasopressor_use,0.02607,0.02659,0.00052,White,Black
temperature,0.00375,0.00411,0.00036,White,Black
map,0.01265,0.01294,0.0003,White,Black
spo2,0.00039,0.00048,0.0001,White,Black
bilirubin,0.001,0.00109,8e-05,White,Black
creatinine,0.02454,0.02434,-0.0002,White,Black
platelet,0.00261,0.00232,-0.00029,White,Black
wbc,0.00483,0.00433,-0.0005,White,Black
resp_rate,0.00489,0.00402,-0.00087,White,Black
lactate,0.04391,0.04011,-0.00379,White,Black
sofa_score,0.08615,0.08206,-0.00409,White,Black
