feature,mean_abs_shap,model
sofa_score,0.08510711246256426,LR
lactate,0.044912601486410686,LR
charlson_index,0.028052943510496763,LR
vasopressor_use,0.026506444926687318,LR
time_to_antibiotics_h,0.025968196357218393,LR
creatinine,0.02453574520720866,LR
mechanical_vent,0.020285205580537383,LR
age,0.01683142805631852,LR
map,0.013326337915500187,LR
wbc,0.0048825956775538385,LR
resp_rate,0.004566101968661658,LR
temperature,0.003932271527761106,LR
heart_rate,0.0032813792012543926,LR
platelet,0.002722239317068505,LR
bilirubin,0.0011155073540554783,LR
spo2,0.00037117580929429446,LR
